Inv Date,Ref,Payee,Details,£ (net),Category
04/07/2016,1,Moor Hall Developments,Security Deposit Office Space and July Rent,"1,800",Deposit - Balance Sheet
04/07/2016,1,Moor Hall Developments,July Office Rent,900,Office
14/07/2016,2,SLCC,SLCC O'Sullivan Membership,304,Subscriptions
01/08/2016,3,Moor Hall Developments,August Office Rent and Clean,950,Office
02/08/2016,7,LGRC Associates Ltd,Summer School July 16,"1,266",Training
02/08/2016,8,LGRC Associates Ltd,John Furze - July 16,"9,741",Startup Staffing
04/08/2016,4,Sure PC Help,Office Equipment,"9,974",IT
04/08/2016,5,Sure PC Help,MFD Printer and Cloud Backup,"4,727",IT
18/08/2016,12,Warks/WestMid Association Local Councils,Annual Membership 2016/17,"2,500",Subscriptions
23/08/2016,32,Birmingham City Council,July and August Town Hall Hire,624,Room Hire
01/09/2016,14,Sure PC Help,Printer Consumables,485,Postage/Stationery
01/09/2016,15,LGRC Associates Ltd,August Interim Town Clerk,"12,233",Startup Staffing
01/09/2016,16,Moor Hall Developments,September Office Rent/Cleaner,950,Office
06/09/2016,17,Louise Chorley Design,RSCTC Logo Design,320,PR/Marketing
09/09/2016,18,BadgesPlus,Enamelled Badges,"2,642",Mayors Challenge
13/09/2016,19,Pretty Odd Props,Wiz Oz Props and Catering,350,Community Grant
16/09/2016,28,Zurich Municipal,Annual Insurance Premium,"1,087",Insurance
21/09/2016,26,SLCC,Deputy Clerk - Conference Oct,345,Training
27/09/2016,33,Birmingham City Council,July Salary Costs - Finance,"1,480",Salaries
27/09/2016,34,Birmingham City Council,August Salary Costs - Finance,"1,885",Salaries
27/09/2016,35,Birmingham City Council,Sept Salary Costs - Finance,"1,588",Salaries
28/09/2016,31,Birmingham City Council,Sep and Oct Hire Town Hall,745,Room Hire
29/09/2016,27,West Midlands Employers,Town Clerk and Dep Advert,400,Recruitment Exp
30/09/2016,65,SLCC,Town Clerk Job Advert,265,Recruitment Exp
01/10/2016,30,Moor Hall Developments,October Office Rent and Cleaning,940,Office
04/10/2016,29,LGRC Associates Ltd,Sept Interim Town Clerk,"9,809",Startup Staffing
