File,Name,Surname,Party,"Number of
            Votes",Elected
Four Oaks Ward,Barley Roger Eric,Barley,Labour Party,436.0,No
Four Oaks Ward,Horrocks Clare,Horrocks,Conservative Party,1841.0,Yes
Four Oaks Ward,Ratcliff David Martin,Ratcliff,Green Party,455.0,No
Four Oaks Ward,Ward Simon,Ward,Conservative Party,1567.0,Yes
Mere Green Ward,Cummins Jackie,Cummins,Conservative Party,2046.0,Yes
Mere Green Ward,Johnson Terry,Johnson,Labour Party,651.0,No
Mere Green Ward,Mayner Jonny,Mayner,Liberal Democrat,612.0,No
Mere Green Ward,Raut Nitish,Raut,Conservative Party,1387.0,Yes
Reddicap Ward,Ashley-Higgins Julie Clare,Ashley-Higgins,Labour Party,627.0,Yes
Reddicap Ward,Pratt Tom,Pratt,Independents for Sutton,504.0,No
Reddicap Ward,Simper Samuel,Simper,Conservative Party,973.0,Yes
Reddicap Ward,Surti Devia,Surti,Conservative Party,618.0,No
Roughley Ward,French Derek Ian,French,Independents for Sutton,700.0,No
Roughley Ward,French Peter Robert,French,Labour Party,682.0,No
Roughley Ward,Gray Jennifer,Gray,Liberal Democrat,577.0,No
Roughley Ward,Mackey Ewan,Mackey,Conservative Party,1695.0,Yes
Roughley Ward,Mosson Jane,Mosson,Conservative Party,1504.0,Yes
Roughley Ward,Parmar Harry,Parmar,Conservative Party,1251.0,Yes
Trinity Ward,Allan David,Allan,Conservative Party,1220.0,Yes
Trinity Ward,Ashley-Higgins Charlotte Julia,Ashley-Higgins,Labour Party,780.0,No
Trinity Ward,Pears David,Pears,Conservative Party,1272.0,Yes
Trinity Ward,Tomlinson Paul,Tomlinson,Labour Party,690.0,No
Trinity Ward,Ward Keith,Ward,Conservative Party,1144.0,Yes
Trinity Ward,Wilkinson Jenny,Wilkinson,Liberal Democrat,735.0,No
Vesey Ward,Burrows Alan Stephen,Burrows,Independents for Sutton,1652.0,No
Vesey Ward,Cairns Janet,Cairns,Conservative Party,2304.0,Yes
Vesey Ward,Farr Thomas,Farr,Conservative Party,1709.0,No
Vesey Ward,Fox-Redfern Matthew,Fox-Redfern,Conservative Party,1602.0,No
Vesey Ward,Jolley Alison,Jolley,Conservative Party,1999.0,Yes
Vesey Ward,Marriott Colin,Marriott,Green Party,1493.0,No
Vesey Ward,Parry Elizabeth Sarah,Parry,Independents for Sutton,1710.0,No
Vesey Ward,Passey Louise,Passey,Conservative Party,2042.0,Yes
Vesey Ward,Pocock Rob,Pocock,Labour Party,3697.0,Yes
Vesey Ward,Puri Manish Kumar,Puri,Labour Party,2821.0,Yes
Walmley Minworth Ward,Afreen Sadaf,Afreen,Independents for Sutton,705.0,No
Walmley Minworth Ward,Auton Ben,Auton,Green Party,828.0,No
Walmley Minworth Ward,Cooke David,Cooke,Liberal Democrat,675.0,No
Walmley Minworth Ward,Cooper John,Cooper,Conservative Party,2102.0,Yes
Walmley Minworth Ward,Ellis Joanne,Ellis,Conservative Party,2295.0,Yes
Walmley Minworth Ward,Finnegan Paul Edward,Finnegan,Labour Party,847.0,No
Walmley Minworth Ward,Griffin Derrick,Griffin,Conservative Party,2096.0,Yes
Walmley Minworth Ward,McDonough Dominic,McDonough,Conservative Party,1907.0,Yes
Walmley Minworth Ward,O'Hagan David Michael,O'Hagan,Independents for Sutton,1050.0,No
Walmley Minworth Ward,Wood Terry,Wood,Conservative Party,1906.0,Yes
Wylde Green Ward,Allen Leeford Claude Beresford,Allen,Conservative Party,1519.0,Yes
Wylde Green Ward,Brindley Ian Stuart,Brindley,Labour Party,832.0,No
Wylde Green Ward,Hodgins Samuel,Hodgins,Conservative Party,1631.0,Yes
Wylde Green Ward,Whitehouse Karen Hilda,Whitehouse,Labour Party,807.0,No
